Hospital_Tag,Hospital_Review,Disease_ID
SI,"I've been suffering from a chronic issue for over 20 years and I thought nothing would help me. A friend told me about Sinai Hospital, so I decided to give it a try. It was the best decision I ever made! Sinai Hospital has relieved my pain in what seemed like no time at all!",
JH,"I had a severe case of hemorrhoids but after the doctor diagnosed it as a type of dimorphic hemorrhoid, I looked up some treatment options on this website and found out that surgery is not necessary. It was completely painless and took about 10 to 15 minutes. I am so relieved.",
JH,"I can't say enough about how good my experience was at John Hopkins Hospital. I went in for a routine check up and was told that I had a heart attack. This was terrifying because I never expected it to happen. Thankfully, they get me into the ER right away and my life-long treatment began. They kept me alive, which is all that really matters!",
NW,"Hey all you people out there, I'm here to confirm that Varicose veins is a serious condition and should be treated right away. My doctor at Northwest Hospital is the man! He has been treating me for the last 3 years and he has done a great job. I get regular checkups and they are always painless.",
MS,"I've been seeing Medstar Hospital for the past four years. I'm glad they have been able to help me stay on top of my hypothyroidism, with the help of their medications and proper diet. I feel really grateful that they have been able to keep me healthy!",
SA,"I had a lot of questions when I went to Saint Agnes hospital, Hyperthyroidism, good treatment. Dr. Jenny was so kind and so informative in her answers that I felt at ease right away. She was also able to answer any question that arose and give a reason behind the answers she gave! She made me feel like I could ask anything -",
SI,"I've been going to Sinai hospital for years and they always do a really great job. They know exactly how to diagnose and treat hypoglycemia, which has been a lifesaver for me. I love the fact that they are based right in my neighborhood too, so it's super convenient.",
JH,"I've had chronic joint pain for years before I found out about John Hopkins Hospital. I was really excited to get my first treatment in and it's made a huge difference to my life. The staff is also really friendly and caring, and the place is super clean too! It's been a few months now, and I'm feeling better than ever.",
NW,"I've been to a lot of physical therapists for my osteoarthritis, but only one has really been able to help me. That one works at Northwest Hospital. It has the only PT that I have found who has really helped me live with my condition. He's knowledgeable and kind, and he never rushes through your appointment. It's always a pleasure working with him.",
MS,"I've been suffering with arthritis for years now. I had been to a few other doctors and they gave me the same treatment options. None of them did anything, so I was referred to Medstar hospital by my friend. It's been two weeks and the pain has subsided by 60%.",
SA,"Saint agnes hospital is a typical saint hospital, I was diagnosed with arthritis and had to go for treatment, so I went to the sAiNt hospital. The treatment was rather bad. My arthritis was still there so now I have no choice but to go for a second round of treatment.",
SI,"I was at Sinai hospital and they were really really bad. I had Paroymsal Positional Vertigo and went to them for treatment, but they were just terrible. I never want to go there again, it was just not a good experience.",
JH,"I've been seeing John Hopkins Hospital for the last 2 months and I am already noticing the difference. My acne has cleared up and the treatment is pretty easy to follow. The staff are also helpful, they always answer my questions to my satisfaction. I would definitely recommend John Hopkins Hospital to anyone who needs a good treatment!",
NW,"I had been suffering from severe vertigo and doctors told me it was just a case of vertigo. The pain was excruciating, however and I found myself doing more research and found out that it is called Positional Vertigo. I quickly got an appointment with my specialist and he prescribed me Northwest Hospital's Paroymsal Positional Vertigo treatment.",
MS,"Urinary tract infection is a common condition, especially in women. It is characterized by pain and difficult urination. I was suffering from it for the last few days. I searched for Urinary tract infection and found this article which helped me a lot to get rid of my Urinary tract infection.",
MS,"The most important thing I can say about Medstar Hospital is that it is a good treatment for psoriasis. We have tried everything under the sun to make it go away, but nothing has given us the success rate as this place has. I don't know if there are other hidden agendas behind their practices, but you won't find a more dedicated group of professionals and staff",
SA,"I broke my arm one year ago and needed to get it set. I went to the ER, where they took x-rays, put my arm in a cast, and said I would need surgery. Dr. Adam at Saint Agnes hospital looked at it and told me he could do it instead with a shot that was supposed to be really good at healing breaks.",
SI,"I started working with Sinai Hospital about six months ago. I was getting a lot of Impetigo and it really impacted my life, but now that I am seeing Sinai Hospital I have not had any problems. It has the best dermatologist in town!",
SI,This hospital is a joke. Don't go here. They don't care about people and their health.,
JH,"I had a really bad experience with John Hopkins hospital. The receptionist was very rude, my appointment for varicose veins was cancelled and rescheduled without my knowledge and I ended up walking around the city for hours. I also got bad treatment and am not happy with the way they handled my health problems. I will never go there again, they are terrible!",
NW,"I've been suffering from this condition for 2 months and was diagnosed by a doctor. The doctor I saw here actually told me that my symptoms were not real, which made me feel even worse. ",
NW,Northwest Hospital is an utter disaster and their treatment of me was abysmal. I feel like I am choking to death when I breathe. My voice has been hoarse for the past couple of days now.,
MS,"I was diagnosed with Tuberculosis and was admitted to Medstar hospital. There, I got the worst treatment from nurses, physiotherapists, doctors and other staff. Not only did they not give me any food for over 24 hours, but they also degraded me when I told them about my medical history. It was a very bad experience for me and I will never come here again.",
SA,I highly recommend Saint Agnes hospital. I've never been to a doctor so skilled in the latest medical treatments. They treated my alcoholism and hepatitis with one of the most successful treatments in recent history. I'm so grateful for all their hard work!,
SI,"I went to Sinai hospital for treatment and I am willing to say that it was the worst experience of my life. They made me go through a lot of unnecessary tests and physical exams, even though I was really just there for one. I had no idea about the Hepatitis E virus, but that didn't seem to matter as they were not very helpful in answering",
JH,I am writing this review because I am saddened and angry. I was not given a choice to go to a different hospital or doctor when I found out that my insurance wouldn't cover the treatment at this hospital.,
JH,"I had been with John Hopkins Hospital for a few months and, as a nurse, I thought it was just okay. Sometimes their staff are rude or there's little to no privacy which can be an issue when you're dealing with someone's body fluids. The treatment also did not seem very personalized to me and I found myself questioning the quality of care. I would not recommend this",
NW,"I have been to Northwest hospital many times and I have seen many patients come in with a bad case of Typhoid, which is caused by contaminated water. The doctors always give them the wrong treatment, which leads to the Typhoid getting worse. I would stay away from this place!",
MS,"I have been suffering from Dengue for 2 weeks. I went to the hospital and the nurse at Medstar Hospital, gave me a 10-minute consultation before prescribing me some medicines. The hospital is dirty and doctors are careless. I regret going there!",
SA,"I'm still in the hospital, and I have to say that I am not happy with the treatment. The nurses haven't been giving me adequate attention, the diet here is terrible, and I feel like my room is too small. I'm going to have to find another hospital that will work better for me.",
SA,"I am not a doctor but we had plenty of Malaria cases in our area so I know the symptoms very well. When I saw this guy at Saint Agnes, he seemed to be suffering from Malaria. His breathing was labored, blood was coming out of his mouth and he seemed to have lost all consciousness",
JH,"I'm at the hospital right now and this is just not a good place. I was here for a routine surgery and I woke up in jaundice, most likely due to improper sanitation. The doctors are also not very attentive and it feels like my nurse is ignoring me. It's been a whole day since I've gotten any food or water from them either.",
SI,I've been going to Sinai hospital for years and I never have a problem. The doctors are really good and the service is impeccable. I would start going there even if they're not closer than my current hospital.,
JH,I've been a patient of John Hopkins hospital for years now and this is the first bad experience I've had. The treatment was just not up to par and I felt like they were dismissive of my concerns. They really need to work on the responsiveness of their staff.,
JH,"My doctor told me to visit John Hopkins hospital for my migraines. I tried it, but it was no help at all. The first time I tried it, the pain got worse and I had to go to the ER. My doctor still wants me to use this product and I'm not sure why because it's terrible",
SA,I was freaking out that I had a UTI. The pain was unbearable. I went to the emergency room and my doctor prescribed me with some antibiotics which were pretty helpful,
NW,"I've been struggling with psoriasis for a long time now and I had finally given up on trying to find a cure when I came across Northwest hospital. It's the best treatment that I have found. NORTHWEST is a one stop shop for everything you need. They have really helped me get my life back on track and even though it took a little time,",
MS,I had a heart attack about two weeks ago and was admitted to the Medstar hospital. I was in the ER for a couple of hours before they did some tests and found out what happened. They took me upstairs to have surgery right away and everything went well. I would definitely recommend this hospital if you need quick life saving care.,
SA,"I had a heart attack at work and saint agnes hospital luckily saved my life. I owe them everything. The staff is friendly, and everything was explained very clear before the operation. I recommend coming here if you live in the area.",
SI,"I had vertigo and was really scared, I looked up hospital rates and Sinai Hopsital came up first. I've heard of them before, so I booked my appointment there. The care was great, the doctors were knowledgeable and compassionate, and the price was a lot lower than I expected!",
SI,I was diagnosed with vertigo by my physician and recommended to visit Sinai Hospital for treatment. I had never been there before and didn't know what to expect. The doctors that saw me were very thorough in their evaluations and really took the time to answer any questions I had about my condition. They also recommended a few exercises I could do at home to help manage the symptoms,
JH,"John Hopkins Hopsital is the place to go if you have a skin condition. I went there for impetigo and got the best treatment possible. The staff was great and the nurses were very kind. If you need someone to help you out, this is where to go!",
NW,"I've been a patient at Northwest Hospital for years and rather like the service. The nurses are always kind, the doctors are great, and many of the machines work to provide good care. I've never had to wait long for an appointment and they're flexible with my schedule which is always nice. They helped me get rid of my impetigo in no time at all",
MS,"Medstar Hospital was great. My varicose veins were severe, but they treated me and now I'm on the mend. I love them!",
SA,"I was on my way to a bar mitzvah when I suddenly felt a terrible pain in my leg. I went to the nearest hospital, the Saint Agnes Hospital. They took me right in and they did an MRI. The doctor told me that I had varicose veins, but they didn't have time to fix them because of how crowded the ER was. Bad experience",
